date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:30:56	28851/28851	---MCZ	200	added ('OK')	text/html	etag:W/%2259cb0bb7412effb9b41c0dd94392b8d3%22	http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819	C:/Users/juan/Documents/personal_juan/cuatro/preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/213823908575.html	(from )
15:30:59	1/1	---M--	200	added ('OK')	text/plain	etag:%225a9409d3-1%22	http://preview.themeforest.net/robots.txt		(from )
15:31:00	194886/194886	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Feb%202018%2023:38:08%20GMT	https://public-assets.envato-static.com/assets/market/core/index-8e883c2aedfd5ad9a2e6750ef97ffd69ddf3cabf73196cdbc4e9274377dbde14.css	C:/Users/juan/Documents/personal_juan/cuatro/public-assets.envato-static.com/assets/market/core/index-8e883c2aedfd5ad9a2e6750ef97ffd69ddf3cabf73196cdbc4e9274377dbde14.css	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:00	1977/1977	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Nov%202017%2003:39:48%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	C:/Users/juan/Documents/personal_juan/cuatro/public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:01	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/Users/juan/Documents/personal_juan/cuatro/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:01	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/Users/juan/Documents/personal_juan/cuatro/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:01	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/Users/juan/Documents/personal_juan/cuatro/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:02	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/Users/juan/Documents/personal_juan/cuatro/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:03	0/0	---MC-	410	error ('Gone')	text/plain	date:Mon,%2026%20Feb%202018%2019:31:02%20GMT	http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/linkid.js	C:/Users/juan/Documents/personal_juan/cuatro/preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/linkid.js	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:05	132032/132032	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2015%20Feb%202018%2003:40:42%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-02e14d0665da0a16de816b0afeaf3b4de7b21f3331192bd25932d811549355b5.js	C:/Users/juan/Documents/personal_juan/cuatro/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-02e14d0665da0a16de816b0afeaf3b4de7b21f3331192bd25932d811549355b5.js	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:05	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/juan/Documents/personal_juan/cuatro/www.google-analytics.com/analytics.js	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
15:31:05	38305/38305	---M-Z	200	added ('OK')	application/javascript	etag:%22f4a00d03dcff090b796568243c4b1366%22	https://s.pinimg.com/ct/core.js	C:/Users/juan/Documents/personal_juan/cuatro/s.pinimg.com/ct/core.js	(from http://preview.themeforest.net/item/onezero-one-page-parallax-multipurpose-html-template/full_screen_preview/21382390?_ga=2.126687885.103486878.1519670373-1626338469.1509652819)
